Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 MaxLFQ Total Intensity	Indistinguishable Proteins
sp|A8MPS7|YDJC_HUMAN	A8MPS7	YDJC_HUMAN	YDJC	323	22.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carbohydrate deacetylase	1.0000	0.9990	5	33	33	33	6	6	4	5	6	6	6	6	4	5	6	6	6	6	4	5	6	6	179093.67	172401.34	154558.77	190090.5	107102.4	186863.94	179093.67	172401.34	154558.77	190090.5	107102.4	186863.94	179093.67	172401.34	154558.77	190090.5	107102.4	186863.94	69585.73	68952.73	63634.96	79198.82	87041.89	77764.33	69585.73	68952.73	63634.96	79198.82	87041.89	77764.33	69585.73	68952.73	63634.96	79198.82	87041.89	77764.33	
sp|C9JLW8|MCRI1_HUMAN	C9JLW8	MCRI1_HUMAN	MCRIP1	97	41.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mapk-regulated corepressor-interacting protein 1	1.0000	0.9990	4	26	26	26	5	4	3	5	4	5	5	4	3	5	4	5	5	4	3	5	4	5	217045.38	217347.81	240583.55	247017.02	241741.61	266246.3	217045.38	217347.81	240583.55	247017.02	241741.61	266246.3	217045.38	217347.81	240583.55	247017.02	241741.61	266246.3	135675.4	131237.34	124719.766	123743.54	125358.766	131783.16	135675.4	131237.34	124719.766	123743.54	125358.766	131783.16	135675.4	131237.34	124719.766	123743.54	125358.766	131783.16	
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	48.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.0000	0.9990	9	145	2	145	21	24	24	26	24	26	0	1	1	0	0	0	21	24	24	26	24	26	7476542.5	7291915.5	7465041.5	7684602.0	7651163.0	7696581.0	1133911.5	955108.8	1021442.06	520758.94	548603.2	539080.7	7476542.5	7291915.5	7465041.5	7684602.0	7651163.0	7696581.0	3287940.5	3405678.8	3162872.8	3071753.5	3301967.5	3375346.2	0.0	886218.56	1100843.9	0.0	0.0	0.0	3287940.5	3405678.8	3162872.8	3071753.5	3301967.5	3375346.2	sp|Q13765|NACA_HUMAN
sp|L0R819|ASURF_HUMAN	L0R819	ASURF_HUMAN	ASDURF	96	55.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	ASNSD1 upstream open reading frame protein	1.0000	0.9990	4	12	12	12	2	1	2	1	2	4	2	1	2	1	2	4	2	1	2	1	2	4	137675.0	125973.695	141737.0	141487.53	108905.41	145946.73	137675.0	125973.695	141737.0	141487.53	108905.41	145946.73	137675.0	125973.695	141737.0	141487.53	108905.41	145946.73	55756.234	51115.086	55399.867	51658.41	58737.43	55896.82	55756.234	51115.086	55399.867	51658.41	58737.43	55896.82	55756.234	51115.086	55399.867	51658.41	58737.43	55896.82	
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	13.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxyribonuclease-2-alpha	1.0000	0.9987	4	14	14	14	3	2	2	1	2	4	3	2	2	1	2	4	3	2	2	1	2	4	159439.28	174280.69	176339.66	153785.97	155410.58	155842.75	159439.28	174280.69	176339.66	153785.97	155410.58	155842.75	159439.28	174280.69	176339.66	153785.97	155410.58	155842.75	65441.586	68351.85	69810.81	64210.332	68229.32	65408.1	65441.586	68351.85	69810.81	64210.332	68229.32	65408.1	65441.586	68351.85	69810.81	64210.332	68229.32	65408.1	
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	46.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.0000	0.9990	21	178	178	178	31	30	30	31	25	31	31	30	30	31	25	31	31	30	30	31	25	31	416255.38	409835.3	426021.25	458743.2	418499.56	452573.12	416255.38	409835.3	426021.25	458743.2	418499.56	452573.12	416255.38	409835.3	426021.25	458743.2	418499.56	452573.12	152530.55	160767.17	155428.9	153988.9	146907.25	149391.97	152530.55	160767.17	155428.9	153988.9	146907.25	149391.97	152530.55	160767.17	155428.9	153988.9	146907.25	149391.97	
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	55.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1.0000	0.9990	19	318	153	318	59	57	56	49	47	50	31	27	27	23	22	23	59	57	56	49	47	50	3519127.8	3517763.5	3533061.0	3918616.0	4030590.8	4045101.0	1541400.9	1501203.4	1417024.2	1337547.1	1288616.9	1269736.2	3519127.8	3517763.5	3533061.0	3918616.0	4030590.8	4045101.0	1410789.2	1397023.2	1363652.9	1355423.1	1323273.4	1297512.6	643804.9	621622.6	586848.8	584537.1	529859.1	521257.66	1410789.2	1397023.2	1363652.9	1355423.1	1323273.4	1297512.6	
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	74.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	PDZ and LIM domain protein 1	1.0000	0.9990	17	256	256	256	44	44	43	44	40	41	44	44	43	44	40	41	44	44	43	44	40	41	1772806.5	1744114.5	1770161.2	1823255.5	1822422.4	1802856.8	1772806.5	1744114.5	1770161.2	1823255.5	1822422.4	1802856.8	1772806.5	1744114.5	1770161.2	1823255.5	1822422.4	1802856.8	805426.1	803597.56	805152.44	792442.9	796778.44	805909.06	805426.1	803597.56	805152.44	792442.9	796778.44	805909.06	805426.1	803597.56	805152.44	792442.9	796778.44	805909.06	
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	40.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytosolic acyl coenzyme A thioester hydrolase	1.0000	0.9990	10	135	135	135	20	20	26	25	24	20	20	20	26	25	24	20	20	20	26	25	24	20	1059377.4	1053483.0	1130817.9	1028279.0	1023979.44	1051522.5	1059377.4	1053483.0	1130817.9	1028279.0	1023979.44	1051522.5	1059377.4	1053483.0	1130817.9	1028279.0	1023979.44	1051522.5	427311.7	423607.0	445518.0	432130.53	430597.06	444721.03	427311.7	423607.0	445518.0	432130.53	430597.06	444721.03	427311.7	423607.0	445518.0	432130.53	430597.06	444721.03	
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	4.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-Ic	1.0000	0.9990	7	11	11	11	1	2	4	1	1	2	1	2	4	1	1	2	1	2	4	1	1	2	140211.11	118685.695	139572.88	129882.97	33442.45	37074.37	140211.11	118685.695	139572.88	129882.97	33442.45	37074.37	140211.11	118685.695	139572.88	129882.97	33442.45	37074.37	74264.78	68340.71	66979.766	73088.88	70034.35	54685.293	74264.78	68340.71	66979.766	73088.88	70034.35	54685.293	74264.78	68340.71	66979.766	73088.88	70034.35	54685.293	
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	67.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synaptosomal-associated protein 23	1.0000	0.9990	11	115	115	115	21	16	19	18	22	19	21	16	19	18	22	19	21	16	19	18	22	19	554359.75	551150.6	524033.62	577828.9	539534.94	563310.6	554359.75	551150.6	524033.62	577828.9	539534.94	563310.6	554359.75	551150.6	524033.62	577828.9	539534.94	563310.6	207643.31	200275.0	197090.36	204738.6	207446.39	202654.55	207643.31	200275.0	197090.36	204738.6	207446.39	202654.55	207643.31	200275.0	197090.36	204738.6	207446.39	202654.55	
sp|O00165|HAX1_HUMAN	O00165	HAX1_HUMAN	HAX1	279	22.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	HCLS1-associated protein X-1	1.0000	0.9990	5	30	30	30	9	5	6	3	3	4	9	5	6	3	3	4	9	5	6	3	3	4	170464.56	173034.7	544539.06	461114.38	370562.47	352939.4	170464.56	173034.7	544539.06	461114.38	370562.47	352939.4	170464.56	173034.7	544539.06	461114.38	370562.47	352939.4	155395.31	159293.66	169638.5	167722.23	169142.73	164426.05	155395.31	159293.66	169638.5	167722.23	169142.73	164426.05	155395.31	159293.66	169638.5	167722.23	169142.73	164426.05	
