Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Spectral Count	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Spectral Count	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Spectral Count	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Spectral Count	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Spectral Count	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Spectral Count	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Spectral Count	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Spectral Count	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Unique Spectral Count	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Unique Spectral Count	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Unique Spectral Count	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Unique Spectral Count	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Unique Spectral Count	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Unique Spectral Count	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Unique Spectral Count	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Unique Spectral Count	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Unique Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Total Spectral Count	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Total Spectral Count	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Total Spectral Count	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Total Spectral Count	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Total Spectral Count	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Total Spectral Count	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Total Spectral Count	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Total Spectral Count	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Total Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Intensity	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Intensity	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Intensity	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Intensity	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Intensity	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Intensity	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Intensity	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Intensity	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Intensity	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Unique Intensity	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Unique Intensity	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Unique Intensity	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Unique Intensity	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Unique Intensity	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Unique Intensity	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Unique Intensity	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Unique Intensity	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Unique Intensity	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Total Intensity	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Total Intensity	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Total Intensity	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Total Intensity	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Total Intensity	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Total Intensity	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Total Intensity	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Total Intensity	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Total Intensity	Indistinguishable Proteins
sp|O43390|HNRPR_HUMAN	O43390	HNRPR_HUMAN	HNRNPR	633	47.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein R	1.0000	0.9990	29	251	157	251	4	3	2	52	28	30	53	44	35	3	3	2	33	16	19	35	27	19	4	3	2	52	28	30	53	44	35	8.8927464E7	6.2455872E7	7.0371656E7	1.62110272E9	8.4600294E8	8.7251078E8	1.71163149E9	1.27238106E9	9.3422291E8	5.6929924E7	4.9680152E7	6.808852E7	1.02996058E9	5.36541472E8	5.5162496E8	1.08551078E9	7.2576109E8	5.7918726E8	8.8927464E7	6.2455872E7	7.0371656E7	1.62110272E9	8.4600294E8	8.7251078E8	1.71163149E9	1.27238106E9	9.3422291E8	
sp|O43670|ZN207_HUMAN	O43670	ZN207_HUMAN	ZNF207	478	2.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	BUB3-interacting and GLEBS motif-containing protein ZNF207	1.0000	0.9990	2	21	21	21	0	0	0	4	3	3	3	3	5	0	0	0	4	3	3	3	3	5	0	0	0	4	3	3	3	3	5	8.6196256E7	8.3502848E7	1.6945016E8	2.53769392E8	2.96250944E8	2.43437632E8	2.84059168E8	3.1206608E8	2.86284736E8	8.6196256E7	8.3502848E7	1.6945016E8	2.53769392E8	2.96250944E8	2.43437632E8	2.84059168E8	3.1206608E8	2.86284736E8	8.6196256E7	8.3502848E7	1.6945016E8	2.53769392E8	2.96250944E8	2.43437632E8	2.84059168E8	3.1206608E8	2.86284736E8	
sp|O43809|CPSF5_HUMAN	O43809	CPSF5_HUMAN	NUDT21	227	21.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cleavage and polyadenylation specificity factor subunit 5	1.0000	0.9990	4	41	41	41	6	6	2	5	5	3	6	2	6	6	6	2	5	5	3	6	2	6	6	6	2	5	5	3	6	2	6	7.1043424E7	6.6139668E7	6.1092704E7	9.8164656E7	1.36683664E8	1.20951152E8	1.37318512E8	1.18596968E8	1.25173224E8	7.1043424E7	6.6139668E7	6.1092704E7	9.8164656E7	1.36683664E8	1.20951152E8	1.37318512E8	1.18596968E8	1.25173224E8	7.1043424E7	6.6139668E7	6.1092704E7	9.8164656E7	1.36683664E8	1.20951152E8	1.37318512E8	1.18596968E8	1.25173224E8	
sp|O43823|AKAP8_HUMAN	O43823	AKAP8_HUMAN	AKAP8	692	6.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	A-kinase anchor protein 8	1.0000	0.9990	3	11	11	11	0	0	0	3	0	1	2	5	0	0	0	0	3	0	1	2	5	0	0	0	0	3	0	1	2	5	0	0.0	0.0	0.0	8.1917576E7	7.0765232E7	3.9205576E7	9.6412144E7	7.1308712E7	5.8187576E7	0.0	0.0	0.0	8.1917576E7	7.0765232E7	3.9205576E7	9.6412144E7	7.1308712E7	5.8187576E7	0.0	0.0	0.0	8.1917576E7	7.0765232E7	3.9205576E7	9.6412144E7	7.1308712E7	5.8187576E7	
sp|O43852|CALU_HUMAN	O43852	CALU_HUMAN	CALU	315	16.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calumenin	1.0000	0.9990	5	39	39	39	6	3	4	6	6	7	0	0	7	6	3	4	6	6	7	0	0	7	6	3	4	6	6	7	0	0	7	9.150328E7	4.7382052E7	7.6603512E7	1.3996208E8	1.79614096E8	2.81603584E8	1.10953144E8	8.4625696E7	1.41248928E8	9.150328E7	4.7382052E7	7.6603512E7	1.3996208E8	1.79614096E8	2.81603584E8	1.10953144E8	8.4625696E7	1.41248928E8	9.150328E7	4.7382052E7	7.6603512E7	1.3996208E8	1.79614096E8	2.81603584E8	1.10953144E8	8.4625696E7	1.41248928E8	
sp|O60287|NPA1P_HUMAN	O60287	NPA1P_HUMAN	URB1	2271	2.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleolar pre-ribosomal-associated protein 1	1.0000	0.9990	5	14	14	14	2	0	0	2	3	0	2	4	1	2	0	0	2	3	0	2	4	1	2	0	0	2	3	0	2	4	1	0.0	0.0	0.0	1.0741135E7	6334738.5	5365773.0	1.872054E7	4882654.5	3406439.2	0.0	0.0	0.0	1.0741135E7	6334738.5	5365773.0	1.872054E7	4882654.5	3406439.2	0.0	0.0	0.0	1.0741135E7	6334738.5	5365773.0	1.872054E7	4882654.5	3406439.2	
sp|O60506|HNRPQ_HUMAN	O60506	HNRPQ_HUMAN	SYNCRIP	623	50.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein Q	1.0000	0.9990	26	114	114	208	0	0	0	28	13	11	24	25	13	0	0	0	28	13	11	24	25	13	1	0	0	47	25	22	42	42	29	7344078.0	7802935.0	1.71156E7	6.1918797E8	4.2162464E8	4.10214272E8	6.824087E8	5.4173101E8	3.96421984E8	7344078.0	7802935.0	1.71156E7	6.1918797E8	4.2162464E8	4.10214272E8	6.824087E8	5.4173101E8	3.96421984E8	5.1527952E7	3.1300958E7	3.3295154E7	1.2762857E9	7.6400544E8	8.1319456E8	1.34398579E9	1.14326118E9	7.9126784E8	
sp|O60716|CTND1_HUMAN	O60716	CTND1_HUMAN	CTNND1	968	16.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Catenin delta-1	1.0000	0.9990	12	50	50	50	0	0	0	15	6	7	8	10	4	0	0	0	15	6	7	8	10	4	0	0	0	15	6	7	8	10	4	0.0	1720478.6	0.0	2.65744832E8	1.68881568E8	1.69358096E8	2.46341856E8	2.20127056E8	1.5302928E8	0.0	1720478.6	0.0	2.65744832E8	1.68881568E8	1.69358096E8	2.46341856E8	2.20127056E8	1.5302928E8	0.0	1720478.6	0.0	2.65744832E8	1.68881568E8	1.69358096E8	2.46341856E8	2.20127056E8	1.5302928E8	
sp|O60832|DKC1_HUMAN	O60832	DKC1_HUMAN	DKC1	514	27.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	H/ACA ribonucleoprotein complex subunit DKC1	1.0000	0.9990	12	45	45	45	0	0	0	16	1	0	13	12	3	0	0	0	16	1	0	13	12	3	0	0	0	16	1	0	13	12	3	3066752.5	3293935.5	4238568.5	2.42112784E8	1.6984E8	1.591548E8	3.30910208E8	2.77513856E8	1.42580736E8	3066752.5	3293935.5	4238568.5	2.42112784E8	1.6984E8	1.591548E8	3.30910208E8	2.77513856E8	1.42580736E8	3066752.5	3293935.5	4238568.5	2.42112784E8	1.6984E8	1.591548E8	3.30910208E8	2.77513856E8	1.42580736E8	
sp|O75410|TACC1_HUMAN	O75410	TACC1_HUMAN	TACC1	805	10.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transforming acidic coiled-coil-containing protein 1	1.0000	0.9990	7	27	22	27	0	0	0	4	5	1	7	6	4	0	0	0	4	4	1	5	4	4	0	0	0	4	5	1	7	6	4	0.0	0.0	0.0	2.03632336E8	1.62407184E8	1.12790304E8	2.41028608E8	1.23010936E8	1.77268048E8	0.0	0.0	0.0	1.81352992E8	1.148284E8	9.57832E7	1.78107472E8	9.9786384E7	1.38792832E8	0.0	0.0	0.0	2.03632336E8	1.62407184E8	1.12790304E8	2.41028608E8	1.23010936E8	1.77268048E8	
sp|O75475|PSIP1_HUMAN	O75475	PSIP1_HUMAN	PSIP1	530	13.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	PC4 and SFRS1-interacting protein	1.0000	0.9990	7	40	40	40	1	0	0	11	2	2	8	7	9	1	0	0	11	2	2	8	7	9	1	0	0	11	2	2	8	7	9	2.328801E7	2.2598064E7	1.74307E7	4.1254096E8	2.08557568E8	2.26677152E8	3.70812672E8	3.15968096E8	2.33203376E8	2.328801E7	2.2598064E7	1.74307E7	4.1254096E8	2.08557568E8	2.26677152E8	3.70812672E8	3.15968096E8	2.33203376E8	2.328801E7	2.2598064E7	1.74307E7	4.1254096E8	2.08557568E8	2.26677152E8	3.70812672E8	3.15968096E8	2.33203376E8	
