Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	20220119_C27283_002_S353676_B-GFP_01 Spectral Count	20220119_C27283_004_S353677_B-GFP_02 Spectral Count	20220119_C27283_006_S353678_B-GFP_03 Spectral Count	20220119_C27283_008_S353679_M_1 Spectral Count	20220119_C27283_010_S353680_M_2 Spectral Count	20220119_C27283_012_S353681_M_3 Spectral Count	20220119_C27283_002_S353676_B-GFP_01 Unique Spectral Count	20220119_C27283_004_S353677_B-GFP_02 Unique Spectral Count	20220119_C27283_006_S353678_B-GFP_03 Unique Spectral Count	20220119_C27283_008_S353679_M_1 Unique Spectral Count	20220119_C27283_010_S353680_M_2 Unique Spectral Count	20220119_C27283_012_S353681_M_3 Unique Spectral Count	20220119_C27283_002_S353676_B-GFP_01 Total Spectral Count	20220119_C27283_004_S353677_B-GFP_02 Total Spectral Count	20220119_C27283_006_S353678_B-GFP_03 Total Spectral Count	20220119_C27283_008_S353679_M_1 Total Spectral Count	20220119_C27283_010_S353680_M_2 Total Spectral Count	20220119_C27283_012_S353681_M_3 Total Spectral Count	20220119_C27283_002_S353676_B-GFP_01 Intensity	20220119_C27283_004_S353677_B-GFP_02 Intensity	20220119_C27283_006_S353678_B-GFP_03 Intensity	20220119_C27283_008_S353679_M_1 Intensity	20220119_C27283_010_S353680_M_2 Intensity	20220119_C27283_012_S353681_M_3 Intensity	20220119_C27283_002_S353676_B-GFP_01 Unique Intensity	20220119_C27283_004_S353677_B-GFP_02 Unique Intensity	20220119_C27283_006_S353678_B-GFP_03 Unique Intensity	20220119_C27283_008_S353679_M_1 Unique Intensity	20220119_C27283_010_S353680_M_2 Unique Intensity	20220119_C27283_012_S353681_M_3 Unique Intensity	20220119_C27283_002_S353676_B-GFP_01 Total Intensity	20220119_C27283_004_S353677_B-GFP_02 Total Intensity	20220119_C27283_006_S353678_B-GFP_03 Total Intensity	20220119_C27283_008_S353679_M_1 Total Intensity	20220119_C27283_010_S353680_M_2 Total Intensity	20220119_C27283_012_S353681_M_3 Total Intensity	20220119_C27283_002_S353676_B-GFP_01 MaxLFQ Intensity	20220119_C27283_004_S353677_B-GFP_02 MaxLFQ Intensity	20220119_C27283_006_S353678_B-GFP_03 MaxLFQ Intensity	20220119_C27283_008_S353679_M_1 MaxLFQ Intensity	20220119_C27283_010_S353680_M_2 MaxLFQ Intensity	20220119_C27283_012_S353681_M_3 MaxLFQ Intensity	20220119_C27283_002_S353676_B-GFP_01 MaxLFQ Unique Intensity	20220119_C27283_004_S353677_B-GFP_02 MaxLFQ Unique Intensity	20220119_C27283_006_S353678_B-GFP_03 MaxLFQ Unique Intensity	20220119_C27283_008_S353679_M_1 MaxLFQ Unique Intensity	20220119_C27283_010_S353680_M_2 MaxLFQ Unique Intensity	20220119_C27283_012_S353681_M_3 MaxLFQ Unique Intensity	20220119_C27283_002_S353676_B-GFP_01 MaxLFQ Total Intensity	20220119_C27283_004_S353677_B-GFP_02 MaxLFQ Total Intensity	20220119_C27283_006_S353678_B-GFP_03 MaxLFQ Total Intensity	20220119_C27283_008_S353679_M_1 MaxLFQ Total Intensity	20220119_C27283_010_S353680_M_2 MaxLFQ Total Intensity	20220119_C27283_012_S353681_M_3 MaxLFQ Total Intensity	Indistinguishable Proteins
sp|O64700|UREG_ARATH	O64700	UREG_ARATH	UREG	275	17.10	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	Urease accessory protein G	1.0000	0.9990	3	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|F4IHW4|F4IHW4_ARATH
sp|O65258|BAM2_ARATH	O65258	BAM2_ARATH	BAM2	542	4.80	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Beta-amylase 2, chloroplastic	1.0000	0.9990	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O65351|SBT17_ARATH	O65351	SBT17_ARATH	SBT1.7	757	35.40	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Subtilisin-like protease SBT1.7	1.0000	0.9990	15	52	52	52	19	14	10	2	1	6	19	14	10	2	1	6	19	14	10	2	1	6	1.87044928E8	3.70490368E8	1.35564864E8	0.0	4891789.0	2.3954408E7	1.87044928E8	3.70490368E8	1.35564864E8	0.0	4891789.0	2.3954408E7	1.87044928E8	3.70490368E8	1.35564864E8	0.0	4891789.0	2.3954408E7	6.881872E7	1.45481312E8	4.7905824E7	8334841.5	5053458.5	1.1939835E7	6.881872E7	1.45481312E8	4.7905824E7	8334841.5	5053458.5	1.1939835E7	6.881872E7	1.45481312E8	4.7905824E7	8334841.5	5053458.5	1.1939835E7	
sp|O65396|GCST_ARATH	O65396	GCST_ARATH	GDCST	408	13.20	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	Aminomethyltransferase, mitochondrial	1.0000	0.9990	5	7	0	7	1	1	0	0	1	4	0	0	0	0	0	0	1	1	0	0	1	4	1.9811452E7	2.2936494E7	0.0	0.0	3050556.2	2.7025274E7	0.0	0.0	0.0	0.0	0.0	0.0	1.9811452E7	2.2936494E7	0.0	0.0	3050556.2	2.7025274E7	9005085.0	2.2408774E7	0.0	0.0	1267167.2	1.2333583E7	0.0	0.0	0.0	0.0	0.0	0.0	9005085.0	2.2408774E7	0.0	0.0	1267167.2	1.2333583E7	tr|A0A2H1ZEA9|A0A2H1ZEA9_ARATH
sp|O80845|PX11D_ARATH	O80845	PX11D_ARATH	PEX11D	236	8.70	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Peroxisomal membrane protein 11D	1.0000	0.9990	2	6	0	6	1	2	0	3	0	0	0	0	0	0	0	0	1	2	0	3	0	0	1371600.2	6266411.5	0.0	8567834.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1371600.2	6266411.5	0.0	8567834.0	0.0	0.0	896947.44	3908542.5	0.0	5659434.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	896947.44	3908542.5	0.0	5659434.0	0.0	0.0	sp|Q84JW1|PX11E_ARATH, sp|Q9LQ73|PX11C_ARATH
sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	25.10	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0000	0.9990	6	122	122	122	20	15	21	18	18	30	20	15	21	18	18	30	20	15	21	18	18	30	6.8960358E9	8.010538E9	5.406806E9	3.80718464E9	3.30925798E9	7.0057861E9	6.8960358E9	8.010538E9	5.406806E9	3.80718464E9	3.30925798E9	7.0057861E9	6.8960358E9	8.010538E9	5.406806E9	3.80718464E9	3.30925798E9	7.0057861E9	4.7792973E9	6.091243E9	4.4741458E9	1.55073075E9	6.1091712E8	3.94563917E9	4.7792973E9	6.091243E9	4.4741458E9	1.55073075E9	6.1091712E8	3.94563917E9	4.7792973E9	6.091243E9	4.4741458E9	1.55073075E9	6.1091712E8	3.94563917E9	
sp|P01012|OVAL_CHICK	P01012	OVAL_CHICK	SERPINB14	386	13.50	Gallus gallus	1:Experimental evidence at protein level	Ovalbumin	1.0000	0.9990	3	3	3	3	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	385266.22	3345051.2	0.0	1.3391715E7	0.0	518168.22	385266.22	3345051.2	0.0	1.3391715E7	0.0	518168.22	385266.22	3345051.2	0.0	1.3391715E7	0.0	518168.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	27.20	Bos taurus	1:Experimental evidence at protein level	Serum albumin	1.0000	0.9990	16	38	27	39	25	1	9	0	3	0	17	1	6	0	3	0	25	2	9	0	3	0	2.18305536E8	9986284.0	4.2784928E7	3036506.8	2941918.2	2097556.8	1.76561552E8	7241397.0	3.7946488E7	3036506.8	5227515.0	2097556.8	2.18305536E8	9986284.0	4.2784928E7	3036506.8	2941918.2	2097556.8	9.1192152E7	5134483.5	2.200956E7	0.0	1690524.2	1566900.1	8.5581144E7	4667270.0	2.5200214E7	0.0	1971279.1	1375735.6	1.07198328E8	6036086.0	2.5872708E7	0.0	1987247.5	1841924.6	
sp|P09468|ATPE_ARATH	P09468	ATPE_ARATH	atpE	132	40.20	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	ATP synthase epsilon chain, chloroplastic	1.0000	0.9990	4	12	12	12	3	3	1	0	1	4	3	3	1	0	1	4	3	3	1	0	1	4	4.1721672E7	5.449912E7	5714130.5	0.0	2448665.2	1.69284E7	4.1721672E7	5.449912E7	5714130.5	0.0	2448665.2	1.69284E7	4.1721672E7	5.449912E7	5714130.5	0.0	2448665.2	1.69284E7	1.5127585E7	1.7222502E7	0.0	0.0	1913608.1	6722965.0	1.5127585E7	1.7222502E7	0.0	0.0	1913608.1	6722965.0	1.5127585E7	1.7222502E7	0.0	0.0	1913608.1	6722965.0	
sp|P0DH91|ARF2B_ARATH	P0DH91	ARF2B_ARATH	ARF2-B	181	17.70	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	ADP-ribosylation factor 2-B	1.0000	0.9990	2	4	0	4	2	1	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	6283906.0	1.0335983E7	0.0	0.0	412084.72	2491941.0	0.0	0.0	0.0	0.0	0.0	0.0	6283906.0	1.0335983E7	0.0	0.0	412084.72	2491941.0	3756701.2	6222324.5	0.0	0.0	0.0	1413762.5	0.0	0.0	0.0	0.0	0.0	0.0	3756701.2	6222324.5	0.0	0.0	0.0	1413762.5	sp|P36397|ARF1_ARATH, sp|Q9LQC8|ARF2A_ARATH, tr|A0A1P8BDK6|A0A1P8BDK6_ARATH, tr|Q6ID97|Q6ID97_ARATH, tr|Q9LYJ3|Q9LYJ3_ARATH, tr|Q9M1P5|Q9M1P5_ARATH
sp|P10896|RCA_ARATH	P10896	RCA_ARATH	RCA	474	40.60	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic	1.0000	0.9990	15	46	0	46	15	11	7	0	2	11	0	0	0	0	0	0	15	11	7	0	2	11	2.53083744E8	3.72891904E8	5.7300152E7	0.0	6528872.0	3.6097344E7	0.0	0.0	0.0	0.0	0.0	0.0	2.53083744E8	3.72891904E8	5.7300152E7	0.0	6528872.0	3.6097344E7	9.046544E7	1.32608888E8	4.0975144E7	0.0	3782151.0	2.4778934E7	0.0	0.0	0.0	0.0	0.0	0.0	9.046544E7	1.32608888E8	4.0975144E7	0.0	3782151.0	2.4778934E7	tr|F4IVZ7|F4IVZ7_ARATH
sp|P17745|EFTU_ARATH	P17745	EFTU_ARATH	TUFA	476	34.20	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Elongation factor Tu, chloroplastic	1.0000	0.9990	11	37	37	37	9	9	5	4	1	9	9	9	5	4	1	9	9	9	5	4	1	9	9.7420448E7	1.17018272E8	2.3093156E7	0.0	0.0	4.5730256E7	9.7420448E7	1.17018272E8	2.3093156E7	0.0	0.0	4.5730256E7	9.7420448E7	1.17018272E8	2.3093156E7	0.0	0.0	4.5730256E7	3.0128436E7	4.4914296E7	1.3187004E7	2.0495804E7	3766051.2	1.1016253E7	3.0128436E7	4.4914296E7	1.3187004E7	2.0495804E7	3766051.2	1.1016253E7	3.0128436E7	4.4914296E7	1.3187004E7	2.0495804E7	3766051.2	1.1016253E7	
sp|P19366|ATPB_ARATH	P19366	ATPB_ARATH	atpB	498	57.60	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	ATP synthase subunit beta, chloroplastic	1.0000	0.9990	18	78	72	78	19	17	10	10	7	15	18	16	9	9	6	14	19	17	10	10	7	15	1.15307344E8	1.79002736E8	5.203688E7	2.4101524E7	1.942173E7	5.5833316E7	1.0418512E8	1.56563392E8	4.4671976E7	2.3525604E7	1.7769756E7	5.2254108E7	1.15307344E8	1.79002736E8	5.203688E7	2.4101524E7	1.942173E7	5.5833316E7	5.262194E7	8.1837464E7	2.3595572E7	1.1526746E7	7407679.0	2.624338E7	5.2466564E7	8.2547864E7	2.2695104E7	1.2337553E7	7328363.5	2.5401174E7	5.262194E7	8.1837464E7	2.3595572E7	1.1526746E7	7407679.0	2.624338E7	
sp|P21238|CPNA1_ARATH	P21238	CPNA1_ARATH	CPN60A1	586	3.40	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Chaperonin 60 subunit alpha 1, chloroplastic	1.0000	0.9978	2	3	3	3	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2450012.5	3402938.0	0.0	0.0	0.0	0.0	2450012.5	3402938.0	0.0	0.0	0.0	0.0	2450012.5	3402938.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P23586|STP1_ARATH	P23586	STP1_ARATH	STP1	522	10.00	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Sugar transport protein 1	1.0000	0.9990	4	5	5	5	0	0	0	4	1	0	0	0	0	4	1	0	0	0	0	4	1	0	0.0	0.0	0.0	9828379.0	6394253.5	0.0	0.0	0.0	0.0	9828379.0	6394253.5	0.0	0.0	0.0	0.0	9828379.0	6394253.5	0.0	0.0	0.0	0.0	8020789.0	4515264.0	0.0	0.0	0.0	0.0	8020789.0	4515264.0	0.0	0.0	0.0	0.0	8020789.0	4515264.0	0.0	
sp|P25697|KPPR_ARATH	P25697	KPPR_ARATH	At1g32060	395	17.50	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Phosphoribulokinase, chloroplastic	1.0000	0.9990	3	3	3	3	0	1	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	2	5.3511144E7	9.2675152E7	0.0	0.0	0.0	8569059.0	5.3511144E7	9.2675152E7	0.0	0.0	0.0	8569059.0	5.3511144E7	9.2675152E7	0.0	0.0	0.0	8569059.0	3.5812976E7	6.658E7	0.0	0.0	0.0	1.2265615E7	3.5812976E7	6.658E7	0.0	0.0	0.0	1.2265615E7	3.5812976E7	6.658E7	0.0	0.0	0.0	1.2265615E7	
sp|P25851|F16P1_ARATH	P25851	F16P1_ARATH	CFBP1	417	12.00	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Fructose-1,6-bisphosphatase 1, chloroplastic	1.0000	0.9990	3	6	6	6	3	1	0	0	0	2	3	1	0	0	0	2	3	1	0	0	0	2	1.2216911E7	1.8580056E7	0.0	0.0	360988.9	8562788.0	1.2216911E7	1.8580056E7	0.0	0.0	360988.9	8562788.0	1.2216911E7	1.8580056E7	0.0	0.0	360988.9	8562788.0	5078467.0	7041994.5	0.0	0.0	230472.38	3196481.5	5078467.0	7041994.5	0.0	0.0	230472.38	3196481.5	5078467.0	7041994.5	0.0	0.0	230472.38	3196481.5	
sp|P27202|PSBR_ARATH	P27202	PSBR_ARATH	PSBR	140	50.70	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Photosystem II 10 kDa polypeptide, chloroplastic	1.0000	0.9990	3	5	5	5	3	1	0	0	0	1	3	1	0	0	0	1	3	1	0	0	0	1	2.1972744E7	2.7206938E7	5825135.0	0.0	0.0	9595517.0	2.1972744E7	2.7206938E7	5825135.0	0.0	0.0	9595517.0	2.1972744E7	2.7206938E7	5825135.0	0.0	0.0	9595517.0	1.3907034E7	2.0141642E7	0.0	0.0	0.0	4762218.5	1.3907034E7	2.0141642E7	0.0	0.0	0.0	4762218.5	1.3907034E7	2.0141642E7	0.0	0.0	0.0	4762218.5	
sp|P27521|CA4_ARATH	P27521	CA4_ARATH	LHCA4	251	61.00	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Chlorophyll a-b binding protein 4, chloroplastic	1.0000	0.9990	12	39	39	39	12	10	6	7	1	3	12	10	6	7	1	3	12	10	6	7	1	3	1.5681472E8	2.36629248E8	3.833942E7	3.8572856E7	1.1798385E7	1.2209822E7	1.5681472E8	2.36629248E8	3.833942E7	3.8572856E7	1.1798385E7	1.2209822E7	1.5681472E8	2.36629248E8	3.833942E7	3.8572856E7	1.1798385E7	1.2209822E7	4.8041668E7	1.07119968E8	2.7418488E7	9.9890336E7	4252795.5	7630386.5	4.8041668E7	1.07119968E8	2.7418488E7	9.9890336E7	4252795.5	7630386.5	4.8041668E7	1.07119968E8	2.7418488E7	9.9890336E7	4252795.5	7630386.5	
