Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 Spectral Count	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 Spectral Count	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 Spectral Count	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 Spectral Count	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 Spectral Count	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 Spectral Count	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 Unique Spectral Count	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 Unique Spectral Count	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 Unique Spectral Count	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 Unique Spectral Count	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 Unique Spectral Count	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 Unique Spectral Count	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 Total Spectral Count	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 Total Spectral Count	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 Total Spectral Count	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 Total Spectral Count	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 Total Spectral Count	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 Total Spectral Count	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 Intensity	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 Intensity	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 Intensity	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 Intensity	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 Intensity	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 Intensity	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 Unique Intensity	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 Unique Intensity	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 Unique Intensity	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 Unique Intensity	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 Unique Intensity	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 Unique Intensity	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 Total Intensity	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 Total Intensity	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 Total Intensity	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 Total Intensity	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 Total Intensity	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 Total Intensity	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 MaxLFQ Intensity	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 MaxLFQ Intensity	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 MaxLFQ Intensity	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 MaxLFQ Intensity	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 MaxLFQ Intensity	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 MaxLFQ Intensity	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 MaxLFQ Unique Intensity	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 MaxLFQ Unique Intensity	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 MaxLFQ Unique Intensity	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 MaxLFQ Unique Intensity	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 MaxLFQ Unique Intensity	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 MaxLFQ Unique Intensity	20220208_002_LN229_EVmix_S362008_Slot1-1_1_2991 MaxLFQ Total Intensity	20220208_003_Tumor_EVenriched_S362011_Slot1-2_1_2992 MaxLFQ Total Intensity	20220208_004_Tumor_EVmix_S362010_Slot1-3_1_2993 MaxLFQ Total Intensity	20220208_005_Healthy_EVenriched_S362013_Slot1-4_1_2994 MaxLFQ Total Intensity	20220208_006_LN229_EVenriched_S362009_Slot1-5_1_2995 MaxLFQ Total Intensity	20220208_007_Healthy_EVmix_S362012_Slot1-6_1_2996 MaxLFQ Total Intensity	Indistinguishable Proteins
sp|A0A0C4DH34|HV428_HUMAN	A0A0C4DH34	HV428_HUMAN	IGHV4-28	117	21.40	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 4-28	1.0000	0.9990	2	20	20	20	0	0	14	0	0	6	0	0	14	0	0	6	0	0	14	0	0	6	0.0	0.0	79999.586	0.0	0.0	64219.008	0.0	0.0	79999.586	0.0	0.0	64219.008	0.0	0.0	79999.586	0.0	0.0	64219.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0C4DH36|HV338_HUMAN	A0A0C4DH36	HV338_HUMAN	IGHV3-38	116	19.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable non-functional immunoglobulin heavy variable 3-38	1.0000	0.9990	3	5	5	10	0	0	4	0	0	1	0	0	4	0	0	1	0	1	4	1	1	3	0.0	0.0	39286.164	0.0	0.0	162184.11	0.0	0.0	39286.164	0.0	0.0	162184.11	0.0	0.0	39286.164	261390.22	758489.56	328601.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39795.605	0.0	0.0	164287.44	
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	47.00	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 5-51	1.0000	0.9990	4	79	47	79	0	2	49	2	0	26	0	1	30	1	0	15	0	2	49	2	0	26	0.0	445640.38	2279758.0	610265.9	0.0	1742005.5	0.0	112537.01	1069495.4	267999.56	0.0	1321164.2	0.0	445640.38	2279758.0	610265.9	0.0	1742005.5	0.0	279752.2	1222319.0	437594.38	0.0	947842.2	0.0	0.0	807227.94	0.0	0.0	937199.5	0.0	279752.2	1222319.0	437594.38	0.0	947842.2	
sp|A0A0J9YX35|HV64D_HUMAN	A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	117	37.60	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 3-64D	1.0000	0.9990	5	19	14	27	0	0	14	0	0	5	0	0	9	0	0	5	0	1	15	1	1	9	0.0	0.0	449690.8	0.0	0.0	602226.5	0.0	0.0	449690.8	0.0	0.0	602226.5	0.0	0.0	299363.62	261390.22	758489.56	722267.5	0.0	0.0	249541.95	0.0	0.0	250405.53	0.0	0.0	249541.95	0.0	0.0	250405.53	0.0	0.0	197385.36	0.0	0.0	316572.03	
sp|A0A0J9YXX1|HV5X1_HUMAN	A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	117	53.00	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 5-10-1	1.0000	0.9990	5	13	13	45	0	0	13	0	0	0	0	0	13	0	0	0	0	1	32	1	0	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	333103.38	1673784.2	342266.3	0.0	800791.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1123153.9	0.0	0.0	455954.78	
sp|A1L4H1|SRCRL_HUMAN	A1L4H1	SRCRL_HUMAN	SSC5D	1573	7.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	1.0000	0.9990	7	10	10	10	10	0	0	0	0	0	10	0	0	0	0	0	10	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B5ME19|EIFCL_HUMAN	B5ME19	EIFCL_HUMAN	EIF3CL	914	8.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit C-like protein	1.0000	0.9990	8	16	0	16	16	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q99613|EIF3C_HUMAN
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	9.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1.0000	0.9990	2	4	0	4	1	0	3	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q13838|DX39B_HUMAN
sp|O00151|PDLI1_HUMAN	O00151	PDLI1_HUMAN	PDLIM1	329	12.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	PDZ and LIM domain protein 1	1.0000	0.9990	3	5	5	5	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00161|SNP23_HUMAN	O00161	SNP23_HUMAN	SNAP23	211	19.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Synaptosomal-associated protein 23	1.0000	0.9990	4	12	12	12	4	0	0	0	0	8	4	0	0	0	0	8	4	0	0	0	0	8	41475.387	0.0	0.0	0.0	0.0	167352.9	41475.387	0.0	0.0	0.0	0.0	167352.9	41475.387	0.0	0.0	0.0	0.0	167352.9	18704.979	0.0	0.0	0.0	0.0	80539.06	18704.979	0.0	0.0	0.0	0.0	80539.06	18704.979	0.0	0.0	0.0	0.0	80539.06	
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	10.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntaxin-binding protein 3	1.0000	0.9990	6	7	7	7	7	0	0	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00187|MASP2_HUMAN	O00187	MASP2_HUMAN	MASP2	686	15.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mannan-binding lectin serine protease 2	1.0000	0.9990	8	30	30	30	0	7	6	0	0	17	0	7	6	0	0	17	0	7	6	0	0	17	0.0	2098536.5	186117.11	0.0	0.0	566568.0	0.0	2098536.5	186117.11	0.0	0.0	566568.0	0.0	2098536.5	186117.11	0.0	0.0	566568.0	0.0	811927.0	88866.96	0.0	0.0	271104.56	0.0	811927.0	88866.96	0.0	0.0	271104.56	0.0	811927.0	88866.96	0.0	0.0	271104.56	
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	18.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11	1.0000	0.9990	7	8	8	8	8	0	0	0	0	0	8	0	0	0	0	0	8	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	39.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Chloride intracellular channel protein 1	1.0000	0.9990	7	20	20	20	10	1	1	0	0	8	10	1	1	0	0	8	10	1	1	0	0	8	455949.44	0.0	0.0	0.0	0.0	195069.44	455949.44	0.0	0.0	0.0	0.0	195069.44	455949.44	0.0	0.0	0.0	0.0	195069.44	166301.56	0.0	0.0	0.0	0.0	97408.55	166301.56	0.0	0.0	0.0	0.0	97408.55	166301.56	0.0	0.0	0.0	0.0	97408.55	
sp|O00339|MATN2_HUMAN	O00339	MATN2_HUMAN	MATN2	956	5.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Matrilin-2	1.0000	0.9990	5	9	9	9	9	0	0	0	0	0	9	0	0	0	0	0	9	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00391|QSOX1_HUMAN	O00391	QSOX1_HUMAN	QSOX1	747	8.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sulfhydryl oxidase 1	1.0000	0.9989	6	7	7	7	7	0	0	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	30.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Agrin	1.0000	0.9990	46	106	106	106	106	0	0	0	0	0	106	0	0	0	0	0	106	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00560|SDCB1_HUMAN	O00560	SDCB1_HUMAN	SDCBP	298	41.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Syntenin-1	1.0000	0.9990	7	28	28	28	23	0	1	0	0	4	23	0	1	0	0	4	23	0	1	0	0	4	2060604.0	0.0	19295.219	0.0	0.0	136334.27	2060604.0	0.0	19295.219	0.0	0.0	136334.27	2060604.0	0.0	19295.219	0.0	0.0	136334.27	1132673.1	0.0	0.0	0.0	0.0	86970.46	1132673.1	0.0	0.0	0.0	0.0	86970.46	1132673.1	0.0	0.0	0.0	0.0	86970.46	
sp|O14578|CTRO_HUMAN	O14578	CTRO_HUMAN	CIT	2027	6.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Citron Rho-interacting kinase	1.0000	0.9990	12	19	19	19	19	0	0	0	0	0	19	0	0	0	0	0	19	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14672|ADA10_HUMAN	O14672	ADA10_HUMAN	ADAM10	748	17.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Disintegrin and metalloproteinase domain-containing protein 10	1.0000	0.9990	10	26	26	26	17	0	0	0	0	9	17	0	0	0	0	9	17	0	0	0	0	9	344645.94	0.0	0.0	0.0	0.0	208619.53	344645.94	0.0	0.0	0.0	0.0	208619.53	344645.94	0.0	0.0	0.0	0.0	208619.53	111952.0	0.0	0.0	0.0	0.0	95562.88	111952.0	0.0	0.0	0.0	0.0	95562.88	111952.0	0.0	0.0	0.0	0.0	95562.88	
